question_id;user_id;antwort
F7;11;guter Ansatz, Suchfunktion könnte noch verbessert werden, um nach bestimmten Feldern (Autor, Keywords, Projekt....) zu suchen.
W1;10;Ich bräuchte länger um mich einzuarbeiten.
W1;11;Ich habe beeindruckend schnell Inhalte gefunden, obwohl ich das Projekt kaum kenne, Hammer!  Allerdings konnte ich dank dem Frageboden auch nach konkreten Dingen suchen. Falls auch für Außendarstellung gedacht, müssen sicher Highlights und Inhalte noch ein wenig attraktiver angepriesen werden....oder eine Art Anleitung, wie man suchen und was man finden kann.
W1;15;Brauche mehr Zeit, um mich besser zurecht zu finden
W1;16;Unübersichtlich
W1;17;Wie kann man Personen nach Kompetenzen finden?
W1;18;Hatte noch nicht ausreichen Zeit für eine richtige Bewertung
W1;19;sehr gute Suchfunktion  Themen manchmal unklar
W1;20;Bei zugeordneten Personen (z.B. Wolfgang Seis) ist nicht klar, in welchem Bezug er zum Thema (im Beispiel: DataCamp Top-Scorer) steht
W1;23;Informationen (z.B. zum Prototyp der Publikationswebsite) nicht leicht zu finden
W1;24;Man braucht Zeit sich da einzuarbeiten. Deshalb kann ich dazu nichts sagen.
W2;11;Fände ich sehr gut für den internen Gebrauch (super für Leitung und Support), wenn etwas aufgemotzt könnte das auch in die Webseite integriert werden.  Fazit: Bei der aktuellen Webseite sieht alles schick aus aber man findet nichts, beim FAKIN Wissensspeicher findet man alles aber es sieht nicht schick aus und lockt niemanden rein.
W2;16;Wenn es funktioniert, kann es hilfreich sein
W2;19;Wer soll das für das KWB erstellen und verwalten? Wie aufwändig wäre so etwas?
W2;21;Ich würde mich beschränken auf nur einige Aspekte:  - Publikationen (!)  - Tools/APPS/Code finde ich verwirrend  - Talks finde ich gut
W2;23;"Wäre schön zu haben, aber vermutlich mit ziemlichen Aufwand verbunden, um auf dem aktuellen Stand zu halten. Inwiefern der Nutzen für die Mitarbeiter den Aufwand rechtfertigt, bin ich mir nicht sicher. Wirklich hilfreich ist er m.M.n. nur, wenn man sich darauf verlassen kann, dass auch alles relevante Wissen enthalten ist (und nicht ""nicht gefunden"" wird, weil Seite noch nicht aktuell)."
W2;24;siehe oben
W3; 7;"Ich hätte gerne visible ein schönes Gant-Chart, bei der die Projekte zeitlich aufgezeigt werden. Und der aktuelle Monat/das aktuelle Quartal gut dargestellt wird. Ein aktuelles Problem der aktuellen Website/Dokumentation ist, dass wenn Projekte abgeschlossen sind und man die Ergebnisse verbreitet werden können, die Projekte weit unten erst nach fünfmaligen ""weitere Laden"" auftauchen. Es muss möglich sein, dass man sich übersichtlich über kürzlich abgeschlossene Projekte, lange abgeschlossene Projekte, laufende Projekte und neue Projekte auch je nach Thema schnell informieren kann. Man müsste auch Projekte zu einem Thema verlinken, weil es ja oft so ist, dass Projektübergreifend an Themen gearbeitet wird. Hierzu wäre eine sicherlich automatisierte geeignete Grafische Aufarbeitung zu finden, die dem User eine Intuitive Navigation bietet. Welche Datenquelle? Ein x-beliebige Tabelle aus dem Management mit den Projektlaufzeiten, die aktuell gehalten wird."
W3;10;Welche Daten sind schon vergfügbar (z.B. Brunnen)?  Dazu müssten Rohdaten sinnvoll abgelegt werden.
W3;11;eine komplette, kreuzweise Verlinkung der Punkte, unter Nutzung von Tags (echt toller Ansatz):  Abteilungen - Themen - Projekte - Personen - Publikationen - Veranstaltungen    z.B. ich klicke auf eine Person, erhalte dann die Abteilung, die Projekte (getrennt: aktuell und abgeschlossen), eine Publikationsliste, eine Liste von Veranstaltungen und Tags, die zeigen womit sich die Person so beschäftigt.....    Ich denke das ist mit dem FAKIN-Wissensspeicher-Ansatz sicher möglich
W3;14;Keine
W3;15;Brauche mehr Zeit, um mir den Wissensspeicher genauer anzusehen und dann zu überlegen, was fehlt.
W3;16;Wann gibt es Mittagessen?
W3;17;Zeit´zu ende
W3;18;Ich finde das alles schon sehr gut, müsste mir die Homepage aber vorher genauer angucken, um eventuelle Verbesserungen vorschlagen zu können.
W3;19;Endnote, Metadaten zu Projekten auf unseren Server
W3;20;Verantwortlichkeiten und Stellvertretung, z.B. wer bekommt Urlaubsanträge, wer organisiert Reisen, ...  Es könnten auch Messgeräte erfasst werden: Welches Messgerät wann angeschafft, wann sind Wartungen zu erfolgen, in welchen Projekten kamen/kommen sie zum Einsatz?
W3;21;Dazu fällt mir grade nichts ein.
W3;23;Zu wenig Zeit, um mir den Umfang des Wissensspeichers genauer Detail anzuschauen.
W3;24;Da ich kein Überblick über den Speicher habe, kann ich das nicht beantworten. Aber prinzipiell finde ich sowas gut und wichtig.
