"�..id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","ipaddr","refurl","F1","F2.SQ001.","F2.SQ002.","F2.SQ003.","F2.SQ004.","F2.SQ005.","F2.SQ006.","F2.SQ007.","F3","F4.SQ001.","F4.SQ002.","F4.SQ003.","F4.SQ004.","F4.SQ005.","F4.SQ006.","F4.SQ007.","F4.SQ008.","F5","F6","F7","F7.comment.","W1","W1.comment.","W2","W2.comment.","W3"
7,"2019-03-11 09:27:29",4,"de",579014550,"bMmF5M0zBh3nkcV","2019-03-11 09:02:42","2019-03-11 09:27:29","62.214.103.234","","1. Brownbag","Nein","Ja","Nein","Ja","Ja","Nein","Nein","DataCamp","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Keine Ahnung (kann dazu keine Antwort finden)","Keine Ahnung (konnte die Information in der Dokumentation nicht finden)","Uwe Huebner im Projekt OXIRED2","","Gut","","Wichtig","","Ich hätte gerne visible ein schönes Gant-Chart, bei der die Projekte zeitlich aufgezeigt werden. Und der aktuelle Monat/das aktuelle Quartal gut dargestellt wird. Ein aktuelles Problem der aktuellen Website/Dokumentation ist, dass wenn Projekte abgeschlossen sind und man die Ergebnisse verbreitet werden können, die Projekte weit unten erst nach fünfmaligen ""weitere Laden"" auftauchen. Es muss möglich sein, dass man sich übersichtlich über kürzlich abgeschlossene Projekte, lange abgeschlossene Projekte, laufende Projekte und neue Projekte auch je nach Thema schnell informieren kann. Man müsste auch Projekte zu einem Thema verlinken, weil es ja oft so ist, dass Projektübergreifend an Themen gearbeitet wird. Hierzu wäre eine sicherlich automatisierte geeignete Grafische Aufarbeitung zu finden, die dem User eine Intuitive Navigation bietet. Welche Datenquelle? Ein x-beliebige Tabelle aus dem Management mit den Projektlaufzeiten, die aktuell gehalten wird."
10,"2019-03-11 09:43:42",4,"de",404978810,"j5spbxCJb35zv1m","2019-03-11 09:15:51","2019-03-11 09:43:42","80.187.106.116","","1. Brownbag","Nein","Ja","Ja","Nein","Ja","Nein","Nein","DataCamp","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Keine Ahnung (kann dazu keine Antwort finden)","2014","Keine Ahnung (konnte die Website schon nicht finden)","","Befriedigend","Ich bräuchte länger um mich einzuarbeiten.","Wichtig","","Welche Daten sind schon vergfügbar (z.B. Brunnen)?
Dazu müssten Rohdaten sinnvoll abgelegt werden."
11,"2019-03-11 10:10:00",4,"de",1467027728,"zZER555dnLav375","2019-03-11 09:18:50","2019-03-11 10:10:00","62.214.103.234","","1. Brownbag","Nein","Ja","Nein","Nein","Ja","Nein","Nein","DataCamp","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Hauke Sonnenberg","2014","Uwe Huebner im Projekt OXIRED2","guter Ansatz, Suchfunktion könnte noch verbessert werden, um nach bestimmten Feldern (Autor, Keywords, Projekt....) zu suchen.","Gut","Ich habe beeindruckend schnell Inhalte gefunden, obwohl ich das Projekt kaum kenne, Hammer!
Allerdings konnte ich dank dem Frageboden auch nach konkreten Dingen suchen. Falls auch für Außendarstellung gedacht, müssen sicher Highlights und Inhalte noch ein wenig attraktiver angepriesen werden....oder eine Art Anleitung, wie man suchen und was man finden kann.","Sehr wichtig","Fände ich sehr gut für den internen Gebrauch (super für Leitung und Support), wenn etwas aufgemotzt könnte das auch in die Webseite integriert werden.
Fazit: Bei der aktuellen Webseite sieht alles schick aus aber man findet nichts, beim FAKIN Wissensspeicher findet man alles aber es sieht nicht schick aus und lockt niemanden rein.","eine komplette, kreuzweise Verlinkung der Punkte, unter Nutzung von Tags (echt toller Ansatz):
Abteilungen - Themen - Projekte - Personen - Publikationen - Veranstaltungen

z.B. ich klicke auf eine Person, erhalte dann die Abteilung, die Projekte (getrennt: aktuell und abgeschlossen), eine Publikationsliste, eine Liste von Veranstaltungen und Tags, die zeigen womit sich die Person so beschäftigt.....

Ich denke das ist mit dem FAKIN-Wissensspeicher-Ansatz sicher möglich"
14,"2019-03-11 10:27:40",4,"de",1189452687,"dbGBZoNZc1Lfkmp","2019-03-11 10:25:25","2019-03-11 10:27:40","46.183.103.8","","1. Brownbag","Ja","Nein","Nein","Nein","Ja","Nein","Nein","DataCamp","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Keine Ahnung (kann dazu keine Antwort finden)","2014","Uwe Huebner im Projekt OXIRED2","","Gut","","Wichtig","","Keine"
15,"2019-03-11 11:52:27",4,"de",284155790,"v1q8B3UazdDK16F","2019-03-11 11:29:50","2019-03-11 11:52:27","62.214.103.234","","1. Brownbag","Nein","Ja","Nein","Nein","Ja","Nein","Nein","DataCamp","Nein","Nein","Nein","Nein","Ja","Ja","Nein","Nein","Wolfgang Seis","Keine Ahnung (konnte die Information in der Dokumentation nicht finden)","Ulf Miehe im Projekt OXIRED","","Befriedigend","Brauche mehr Zeit, um mich besser zurecht zu finden","Keine Ahnung","","Brauche mehr Zeit, um mir den Wissensspeicher genauer anzusehen und dann zu überlegen, was fehlt."
16,"2019-03-11 11:43:08",4,"de",1837272477,"xpsjEiHgMien3Dc","2019-03-11 11:29:52","2019-03-11 11:43:08","62.214.103.234","","1. Brownbag","Nein","Ja","Nein","Nein","Ja","Nein","Nein","DataCamp","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Keine Ahnung (konnte das Tool schon nicht finden)","2014","Uwe Huebner im Projekt OXIRED2","","Befriedigend","Unübersichtlich","Wichtig","Wenn es funktioniert, kann es hilfreich sein","Wann gibt es Mittagessen?"
17,"2019-03-11 11:57:42",4,"de",112465100,"5naEt8aXgyBqCa6","2019-03-11 11:30:29","2019-03-11 11:57:42","62.214.103.234","","1. Brownbag","Nein","Ja","Nein","Nein","Ja","Nein","Nein","DataCamp","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Keine Ahnung (kann dazu keine Antwort finden)","Keine Ahnung (konnte schon das R Paket nicht finden)","Keine Ahnung (kann dazu keine Antwort finden)","","Befriedigend","Wie kann man Personen nach Kompetenzen finden?","Wichtig","","Zeit´zu ende"
18,"2019-03-11 11:54:17",4,"de",228454339,"UVqwwfLSZeKw8yg","2019-03-11 11:30:58","2019-03-11 11:54:17","62.214.103.234","","1. Brownbag","Nein","Ja","Nein","Nein","Nein","Nein","Nein","R for Dummies","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Wolfgang Seis","2014","Keine Ahnung (kann dazu keine Antwort finden)","","Gut","Hatte noch nicht ausreichen Zeit für eine richtige Bewertung","Wichtig","","Ich finde das alles schon sehr gut, müsste mir die Homepage aber vorher genauer angucken, um eventuelle Verbesserungen vorschlagen zu können."
19,"2019-03-11 11:49:40",4,"de",164504735,"e2upTGu3zFIYivE","2019-03-11 11:30:58","2019-03-11 11:49:40","62.214.103.234","","1. Brownbag","Nein","Ja","Nein","Nein","Ja","Nein","Nein","DataCamp","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Wolfgang Seis","Keine Ahnung (konnte die Information in der Dokumentation nicht finden)","Uwe Huebner im Projekt OXIRED2","","Befriedigend","sehr gute Suchfunktion
Themen manchmal unklar","Wichtig","Wer soll das für das KWB erstellen und verwalten? Wie aufwändig wäre so etwas?","Endnote, Metadaten zu Projekten auf unseren Server"
20,"2019-03-11 11:43:29",4,"de",916099416,"CqSYHItPBk2yyX7","2019-03-11 11:31:07","2019-03-11 11:43:29","62.214.103.234","","1. Brownbag","Ja","Ja","Nein","Ja","Ja","Nein","Nein","DataCamp","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Wolfgang Seis","2014","Uwe Huebner im Projekt OXIRED2","","Gut","Bei zugeordneten Personen (z.B. Wolfgang Seis) ist nicht klar, in welchem Bezug er zum Thema (im Beispiel: DataCamp Top-Scorer) steht","Wichtig","","Verantwortlichkeiten und Stellvertretung, z.B. wer bekommt Urlaubsanträge, wer organisiert Reisen, ...
Es könnten auch Messgeräte erfasst werden: Welches Messgerät wann angeschafft, wann sind Wartungen zu erfolgen, in welchen Projekten kamen/kommen sie zum Einsatz?"
